smiles,w1,w2,w3,w4,top_slot,entropy_bits,top_minus_uniform,source
Cc1cccnc1C,0.075081,0.770390,0.076886,0.077642,2,1.141220,0.520390,qdf
Oc1ccc(cc1)c2ccccc2,0.077419,0.770019,0.072455,0.080107,2,1.142204,0.520019,qdf
CC1CCCC1,0.769642,0.071385,0.076818,0.082155,1,1.143198,0.519642,qdf
CCOC=C,0.082557,0.077503,0.070516,0.769425,4,1.143777,0.519425,qdf
O=N(=O)c1ccccc1N(=O)=O,0.769357,0.072678,0.084260,0.073704,1,1.143930,0.519357,qdf
CCCCNC(=O)n1c(NC(=O)OC)nc2ccccc12,0.768683,0.069807,0.085824,0.075685,1,1.145709,0.518683,qdf
c1(C(=O)OCCCCCC(C)(C))c(C(=O)OCCCCCC(C)(C))cccc1,0.767775,0.074698,0.088578,0.068949,1,1.148064,0.517775,qdf
CC34CCC1C(CC=C2CC(O)CCC12C)C3CCC4=O,0.079546,0.066092,0.767246,0.087116,3,1.149546,0.517246,qdf
COc2c1occc1cc3ccc(=O)oc23,0.766975,0.066935,0.076478,0.089613,1,1.150186,0.516975,qdf
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,0.064838,0.766150,0.079539,0.089473,2,1.152422,0.516150,qdf
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,0.090476,0.079087,0.064635,0.765803,4,1.153317,0.515803,qdf
Oc1ccccc1O,0.765076,0.062751,0.085318,0.086855,1,1.155360,0.515076,qdf
Nc1cc(nc(N)n1=O)N2CCCCC2,0.765034,0.086005,0.062690,0.086272,1,1.155474,0.515034,qdf
C1CCC2CCCCC2C1,0.765009,0.094687,0.073893,0.066411,1,1.155190,0.515009,qdf
O=C1CNC(=O)N1,0.094157,0.075546,0.764923,0.065374,3,1.155470,0.514923,qdf
ON=Cc1ccc(o1)N(=O)=O,0.087539,0.086195,0.061954,0.764312,4,1.157387,0.514312,qdf
N(c1ccccc1)c2ccccc2,0.081270,0.764172,0.062558,0.092000,2,1.157644,0.514172,qdf
CCC(C)CO,0.762801,0.069119,0.068380,0.099700,1,1.160683,0.512801,qdf
CCCCC=O,0.060376,0.762480,0.090638,0.086506,2,1.162222,0.512480,qdf
CC1CCCCC1,0.761187,0.092664,0.086709,0.059440,1,1.165616,0.511187,qdf
c1ccc(cc1)c2ccccc2,0.068142,0.068142,0.102546,0.761170,4,1.164753,0.511170,qdf
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,0.066354,0.069900,0.760901,0.102845,3,1.165447,0.510901,qdf
O=C1NC(=O)NC(=O)C1(CC)c1ccccc1,0.760568,0.099021,0.079774,0.060637,1,1.166862,0.510568,qdf
Cc1ccc2ccccc2c1,0.060205,0.098205,0.081055,0.760535,4,1.167033,0.510535,qdf
CC(C)C(=O)C(C)C,0.066348,0.069624,0.103517,0.760511,4,1.166410,0.510511,qdf
CC(C)(C)c1ccc(O)cc1,0.759993,0.087902,0.058560,0.093544,1,1.168765,0.509993,qdf
Oc2cc(O)c1C(=O)CC(Oc1c2)c3ccc(O)c(O)c3,0.759762,0.091431,0.090536,0.058271,1,1.169413,0.509762,qdf
CCC(C)(C)O,0.758361,0.065038,0.069763,0.106838,1,1.171738,0.508361,qdf
CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1(O)C(=O)CO,0.104476,0.077173,0.757972,0.060380,3,1.173223,0.507972,qdf
CCCCCC1CCCC1,0.086978,0.097674,0.057496,0.757852,4,1.174279,0.507852,qdf
CC/C=C/C,0.056553,0.756587,0.089548,0.097312,2,1.177661,0.506587,qdf
CCCCCCCCCC(=O)OC,0.755840,0.074322,0.108945,0.060892,1,1.178257,0.505840,qdf
CCCOC(=O)CC,0.755337,0.093049,0.055709,0.095904,1,1.180994,0.505337,qdf
c1c(O)C2C(=O)C3cc(O)ccC3OC2cc1(OC),0.064960,0.067718,0.754402,0.112920,3,1.181312,0.504402,qdf
c1ccc2cc3cc4ccccc4cc3cc2c1,0.075372,0.753739,0.059565,0.111324,2,1.183522,0.503739,qdf
CCN(CC)c1ccccc1,0.753467,0.105015,0.055897,0.085621,1,1.185338,0.503467,qdf
C1OC1c2ccccc2,0.069509,0.062976,0.753084,0.114431,3,1.184568,0.503084,qdf
C/C1CCCCC1\C,0.752631,0.061472,0.114490,0.071406,1,1.185805,0.502631,qdf
C1CCC=CC1,0.058501,0.751584,0.113806,0.076109,2,1.188860,0.501584,qdf
CCC#C,0.080249,0.112918,0.056444,0.750390,4,1.192321,0.500390,qdf
C1CCCC1,0.108312,0.054451,0.087139,0.750097,4,1.193918,0.500097,qdf
O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23,0.087306,0.749640,0.108776,0.054278,2,1.195072,0.499640,qdf
CN(C)C(=O)Oc1nc(nc(C)c1C)N(C)C,0.102669,0.053030,0.749068,0.095232,3,1.197151,0.499068,qdf
CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,0.748714,0.114228,0.055541,0.081516,1,1.196581,0.498714,qdf
CC(C)CC(=O)C,0.119865,0.748617,0.060456,0.071062,2,1.195356,0.498617,qdf
CCC(C)CC,0.748554,0.086776,0.110597,0.054072,1,1.197695,0.498554,qdf
C,0.087422,0.110417,0.053862,0.748298,4,1.198407,0.498298,qdf
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,0.747728,0.093276,0.052770,0.106226,1,1.200413,0.497728,qdf
CCCOCCC,0.747640,0.122259,0.065413,0.064688,1,1.197279,0.497640,qdf
CCCCCCCC#C,0.747575,0.083408,0.054658,0.114360,1,1.199631,0.497575,qdf
CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,0.053953,0.085731,0.747233,0.113084,3,1.200802,0.497233,qdf
CCc1ccccn1,0.105242,0.096467,0.746259,0.052033,3,1.204310,0.496259,qdf
CCCCC(C)(C)O,0.746098,0.098388,0.051874,0.103640,1,1.204799,0.496098,qdf
c1ccc2c(c1)cnc3ccccc23,0.051823,0.098396,0.745936,0.103845,3,1.205209,0.495936,qdf
CC(=O)OCC(=O)C3(O)CCC4C2CCC1=CC(=O)C=CC1(C)C2C(O)CC34C,0.745812,0.051784,0.098398,0.104007,1,1.205522,0.495812,qdf
Nc1nc(O)nc2nc[nH]c12,0.117664,0.083766,0.744717,0.053854,3,1.206594,0.494717,qdf
CCC(O)CC,0.128041,0.068683,0.060610,0.742665,4,1.208957,0.492665,qdf
c1cC2C(=O)NC(=O)C2cc1,0.742568,0.128493,0.061730,0.067209,1,1.209048,0.492568,qdf
Nc1nc[nH]n1,0.091947,0.051514,0.114214,0.742325,4,1.213620,0.492325,qdf
CCC(C)O,0.058557,0.071419,0.128314,0.741710,4,1.211495,0.491710,qdf
Cc1ccc(O)c(C)c1,0.121450,0.052228,0.086185,0.740137,4,1.217946,0.490137,qdf
c1cc(O)c(O)c2OCC3(O)CC4=CC(=O)C(O)=CC4=C3c21,0.739713,0.120284,0.051629,0.088375,1,1.219353,0.489713,qdf
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,0.051893,0.739633,0.121324,0.087149,2,1.219319,0.489633,qdf
CC(C)CCCO,0.103923,0.049752,0.739360,0.106965,3,1.221880,0.489360,qdf
CCN2c1ccccc1N(C)C(=O)c3cccnc23,0.132767,0.065833,0.062150,0.739250,4,1.216470,0.489250,qdf
Cc1c2ccccc2cc3ccccc13,0.051540,0.739010,0.088158,0.121292,2,1.220982,0.489010,qdf
O=C1NC(=O)NC(=O)C1(C(C)C)C(C)C,0.101847,0.111203,0.049386,0.737564,4,1.226244,0.487564,qdf
C2c1ccccc1N(CCF)C(=O)c3ccccc23,0.737175,0.132047,0.055690,0.075088,1,1.222496,0.487174,qdf
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,0.053601,0.131736,0.079233,0.735431,4,1.227372,0.485431,qdf
Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4,0.112207,0.048680,0.734948,0.104165,3,1.232793,0.484948,qdf
CCN2c1ccccc1N(C)C(=O)c3ccccc23,0.049025,0.098443,0.734519,0.118013,3,1.233312,0.484519,qdf
c1ccccc1C(O)C(O)c2ccccc2,0.128650,0.051241,0.734174,0.085935,3,1.231816,0.484174,qdf
CCCCCCc1ccccc1,0.056602,0.733548,0.072243,0.137607,2,1.230045,0.483548,qdf
CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C,0.049899,0.126127,0.090954,0.733020,4,1.235587,0.483020,qdf
CCc1ccc(C)cc1,0.078625,0.134908,0.733002,0.053466,3,1.232714,0.483002,qdf
CCCOC(=O)c1ccc(N)cc1,0.140445,0.732925,0.061999,0.064630,2,1.230385,0.482925,qdf
CC(C)c1ccc(C)cc1O,0.129410,0.050667,0.087258,0.732666,4,1.235589,0.482666,qdf
CN(C)c1ccccc1,0.048786,0.097385,0.732530,0.121299,3,1.237899,0.482530,qdf
CCN(=O)=O,0.077318,0.053923,0.136328,0.732431,4,1.233671,0.482431,qdf
OCC(O)C(O)CO,0.732221,0.071865,0.139297,0.056618,1,1.232898,0.482221,qdf
Nc1c(C)c[nH]c(=O)n1,0.110722,0.109723,0.731720,0.047835,3,1.240878,0.481720,qdf
Cc1ccc(cc1)c2ccccc2,0.730906,0.083001,0.051608,0.134485,1,1.238534,0.480906,qdf
