smiles,w1,w2,w3,w4,top_slot,entropy_bits,top_minus_uniform,source
CCC(O)(CC)CC,0.075290,0.770233,0.079756,0.074721,2,1.141634,0.520233,qdf
CCCOCC,0.078256,0.069407,0.083280,0.769058,4,1.144751,0.519058,qdf
CCOCC,0.078720,0.768847,0.083596,0.068837,2,1.145312,0.518847,qdf
CCCCCC(=O)C,0.069895,0.075728,0.768744,0.085633,3,1.145550,0.518744,qdf
OC(Cn1cncn1)(c2ccc(F)cc2)c3ccccc3F,0.768308,0.078970,0.067790,0.084931,1,1.146739,0.518308,qdf
CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,0.091348,0.069418,0.072376,0.766857,4,1.150406,0.516857,qdf
CCCCCC(C)C,0.084103,0.084516,0.064694,0.766687,4,1.151079,0.516687,qdf
CCCCCCCC,0.094004,0.071795,0.068542,0.765660,4,1.153472,0.515660,qdf
CCCOC(=O)c1ccc(N)cc1,0.765479,0.078637,0.064486,0.091398,1,1.154145,0.515479,qdf
CN(C=Nc1ccc(C)cc1C)C=Nc2ccc(C)cc2C,0.093121,0.065695,0.075766,0.765419,4,1.154199,0.515419,qdf
CCCC(C)(C)O,0.084904,0.087241,0.062776,0.765079,4,1.155350,0.515078,qdf
c1ccc(cc1)c2ccc(cc2)c3ccccc3,0.764234,0.090108,0.083514,0.062144,1,1.157551,0.514234,qdf
CCCCC(CC)CO,0.763947,0.096281,0.065035,0.074737,1,1.157941,0.513947,qdf
c2ccc1ocnc1c2,0.061342,0.763654,0.088624,0.086381,2,1.159130,0.513654,qdf
CCC#CCC,0.078084,0.062247,0.762238,0.097431,3,1.162486,0.512238,qdf
CCCOC(=O)C,0.079584,0.762194,0.061660,0.096562,2,1.162685,0.512194,qdf
c1ccc2c(c1)ccc3ccccc32,0.762091,0.100418,0.065468,0.072023,1,1.162536,0.512091,qdf
Nc1cccc(c1)N(=O)=O,0.761505,0.064145,0.073459,0.100891,1,1.164079,0.511505,qdf
OCC(O)C(O)C(O)C(O)CO,0.078911,0.760659,0.060997,0.099432,2,1.166570,0.510659,qdf
CCC(CC)C=O,0.760549,0.101102,0.076302,0.062047,1,1.166670,0.510549,qdf
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,0.075110,0.760493,0.062618,0.101778,2,1.166728,0.510493,qdf
CCCCOc1ccc(C(=O)OCC)c(c1)N(CC)CC,0.084619,0.058893,0.759747,0.096741,3,1.169272,0.509747,qdf
CC34CCC1C(CCC2CC(O)CCC12C)C3CCC4=O,0.076875,0.102104,0.759691,0.061331,3,1.168879,0.509690,qdf
Cc1c[nH]c(=O)[nH]c1=O,0.066882,0.759432,0.068309,0.105377,2,1.169058,0.509432,qdf
N#Cc1ccccc1,0.067856,0.759188,0.067170,0.105785,2,1.169656,0.509188,qdf
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C2CCC1(O)C(=O)CO,0.085559,0.097269,0.058266,0.758906,4,1.171490,0.508906,qdf
C=C,0.758859,0.094344,0.057794,0.089002,1,1.171751,0.508859,qdf
O=Cc1ccccc1,0.102109,0.059979,0.758809,0.079102,3,1.171282,0.508809,qdf
Cc1ccccc1N,0.058678,0.100429,0.082523,0.758370,4,1.172665,0.508370,qdf
CNC(=O)Oc1cccc2ccccc12,0.757987,0.087867,0.057441,0.096705,1,1.173973,0.507987,qdf
Cc1c(C)c(C)c(C)c(C)c1C,0.091519,0.093542,0.757855,0.057084,3,1.174418,0.507855,qdf
