smiles,w1,w2,w3,w4,top_slot,entropy_bits,top_minus_uniform,source
ClC1=C(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C2(Cl)Cl,0.000000,0.000000,0.000000,1.000000,4,0.000000,0.750000,qdf
CCc1cccc(C)c1N(C(C)COC)C(=O)CCl,0.000000,0.000000,0.000000,1.000000,4,0.000000,0.750000,qdf
CC(C)NC(=O)N1CC(=O)N(C1=O)c2cc(Cl)cc(Cl)c2,0.000000,0.000000,0.000000,1.000000,4,0.000000,0.750000,qdf
ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,0.000000,0.000000,0.000003,0.999997,4,0.000062,0.749997,qdf
CC2Nc1cc(Cl)c(cc1C(=O)N2c3ccccc3C)S(N)(=O)=O,0.000000,0.000000,0.000003,0.999997,4,0.000057,0.749997,qdf
CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,0.000000,0.000000,0.000006,0.999994,4,0.000121,0.749994,qdf
Fc1cccc(F)c1C(=O)NC(=O)Nc2ccc(Cl)cc2,0.000003,0.000003,0.000003,0.999990,4,0.000200,0.749990,qdf
CCOC(=O)N(C)C(=O)CSP(=S)(OCC)OCC,0.000000,0.000000,0.000052,0.999948,4,0.000814,0.749948,qdf
CCC2NC(=O)c1cc(c(Cl)cc1N2)S(N)(=O)=O,0.000001,0.000011,0.000048,0.999941,4,0.000965,0.749941,qdf
NS(=O)(=O)c2cc1c(N=CNS1(=O)=O)cc2Cl,0.000029,0.000029,0.000065,0.999878,4,0.001947,0.749878,qdf
Oc1cc(Cl)cc(Cl)c1Cl,0.000045,0.000045,0.000045,0.999865,4,0.002150,0.749865,qdf
Oc1ccccc1Cl,0.000064,0.000064,0.000064,0.999808,4,0.002958,0.749808,qdf
Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,0.000070,0.000075,0.000075,0.999780,4,0.003342,0.749780,qdf
OCC(O)C2OC1OC(OC1C2O)C(Cl)(Cl)Cl,0.000000,0.000002,0.000260,0.999738,4,0.003510,0.749738,qdf
CCCCOCN(C(=O)CCl)c1c(CC)cccc1CC,0.000000,0.000080,0.000219,0.999701,4,0.004187,0.749701,qdf
ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,0.000000,0.000000,0.000332,0.999668,4,0.004312,0.749668,qdf
CCOC(=O)c1ccccc1S(=O)(=O)NN(C=O)c2nc(Cl)cc(OC)n2,0.000000,0.000000,0.000388,0.999612,4,0.004962,0.749612,qdf
NS(=O)(=O)c1cc(ccc1Cl)C2(O)NC(=O)c3ccccc23,0.000094,0.000117,0.000263,0.999526,4,0.006594,0.749526,qdf
CCc1cccc(CC)c1N(COC)C(=O)CCl,0.000000,0.000000,0.000679,0.999321,4,0.008126,0.749321,qdf
O=C1NCCN1c2ncc(s2)N(=O)=O,0.000466,0.000466,0.000466,0.998602,4,0.017484,0.748602,qdf
CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1,0.000000,0.001214,0.002490,0.996295,4,0.038635,0.746296,qdf
CCCN(CCC)c1c(cc(cc1N(=O)=O)S(N)(=O)=O)N(=O)=O,0.000037,0.000841,0.003109,0.996013,4,0.040777,0.746013,qdf
OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O,0.000321,0.001868,0.001868,0.995943,4,0.043427,0.745943,qdf
NS(=O)(=O)c2cc1c(NC(NS1(=O)=O)C(Cl)Cl)cc2Cl,0.000447,0.002171,0.002489,0.994893,4,0.053057,0.744893,qdf
CCCCCCCCl,0.000203,0.000348,0.005821,0.993628,4,0.058866,0.743628,qdf
Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,0.000233,0.003328,0.003915,0.992524,4,0.072259,0.742524,qdf
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,0.000348,0.000581,0.007194,0.991878,4,0.073121,0.741878,qdf
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,0.000107,0.000107,0.008329,0.991457,4,0.072625,0.741457,qdf
CC(=O)CC(c1ccc(Cl)cc1)c2c(O)c3ccccc3oc2=O,0.000000,0.000005,0.009741,0.990254,4,0.079164,0.740254,qdf
CC(C)Nc1nc(Cl)nc(NC(C)C)n1,0.000010,0.001368,0.008730,0.989892,4,0.087405,0.739892,qdf
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,0.001342,0.003167,0.005785,0.989706,4,0.096880,0.739706,qdf
CCOP(=S)(OCC)SCSCC,0.000007,0.001615,0.008778,0.989600,4,0.089998,0.739600,qdf
CCNc1nc(NC(C)C)nc(SC)n1,0.002155,0.003177,0.005087,0.989581,4,0.099160,0.739581,qdf
CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,0.000508,0.000546,0.013940,0.985006,4,0.118881,0.735006,qdf
CCOC(=O)CCN(SN(C)C(=O)Oc1cccc2CC(C)(C)Oc21)C(C)C,0.000009,0.006396,0.012445,0.981151,4,0.152449,0.731151,qdf
CSc1nc(NC(C)C)nc(NC(C)C)n1,0.001021,0.007311,0.014324,0.977344,4,0.182077,0.727344,qdf
OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)N(=O)=O,0.000019,0.000253,0.026210,0.973518,4,0.178719,0.723518,qdf
CC(=O)C(C)(C)C,0.008515,0.970939,0.011118,0.009429,2,0.235465,0.720939,qdf
C1CCC=CCC1,0.008410,0.009604,0.011056,0.970930,4,0.235519,0.720930,qdf
C1OC1c2ccccc2,0.011491,0.008283,0.970779,0.009447,3,0.236395,0.720779,qdf
CN(C)C(=O)OC1=CC(=O)CC(C)(C)C1,0.007945,0.970680,0.009986,0.011389,2,0.236992,0.720680,qdf
Cn2c(=O)n(C)c1ncn(CC(O)CO)c1c2=O,0.011945,0.008614,0.970657,0.008784,3,0.237093,0.720657,qdf
CC(C)c1ccc(C)cc1O,0.011897,0.008363,0.009086,0.970653,4,0.237118,0.720653,qdf
COCOC,0.970538,0.009223,0.012084,0.008155,1,0.237792,0.720537,qdf
CCCN(CCC)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O,0.009755,0.011973,0.970458,0.007814,3,0.238278,0.720458,qdf
O=N(=O)c1ccccc1N(=O)=O,0.970282,0.008487,0.012715,0.008515,1,0.239247,0.720282,qdf
N(c1ccccc1)c2ccccc2,0.010196,0.970165,0.007441,0.012198,2,0.240007,0.720165,qdf
CC1=C(CCCO1)C(=O)Nc2ccccc2,0.009296,0.007799,0.970145,0.012759,3,0.240063,0.720145,qdf
CCCOC=O,0.007586,0.009423,0.013079,0.969912,4,0.241417,0.719912,qdf
CCC,0.007886,0.969748,0.013583,0.008783,2,0.242312,0.719748,qdf
CCCC(C)(C)CO,0.007269,0.013166,0.009874,0.969691,4,0.242727,0.719691,qdf
CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,0.000102,0.004511,0.025839,0.969548,4,0.216041,0.719548,qdf
CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,0.000102,0.004511,0.025839,0.969548,4,0.216041,0.719548,qdf
O=C1NC(=O)NC(=O)C1(CC)CCC(C)C,0.006726,0.012198,0.969341,0.011734,3,0.244883,0.719341,qdf
CCN(CC)c1ccccc1,0.969310,0.014177,0.007533,0.008980,1,0.244824,0.719310,qdf
CN(C)C(=O)C,0.007290,0.009176,0.968998,0.014536,3,0.246619,0.718998,qdf
CCC1(C(=O)NC(=O)NC1=O)C2=CCC3CCC2C3,0.009988,0.006812,0.014530,0.968671,4,0.248589,0.718671,qdf
CC(C)COC=O,0.006414,0.013768,0.011324,0.968493,4,0.249783,0.718493,qdf
Nc1cc(nc(N)n1=O)N2CCCCC2,0.006910,0.015359,0.009453,0.968277,4,0.250737,0.718277,qdf
c1ccc2c(c1)c3cccc4c3c2cc5ccccc54,0.014918,0.010226,0.006603,0.968254,4,0.251000,0.718254,qdf
CC(=C)C(=C)C,0.015915,0.968196,0.007682,0.008207,2,0.251040,0.718196,qdf
c1ccc(cc1)c2ccccc2,0.008220,0.007587,0.016264,0.967929,4,0.252528,0.717929,qdf
COCC(=O)N(C(C)C(=O)OC)c1c(C)cccc1C,0.007000,0.016143,0.009035,0.967822,4,0.253223,0.717822,qdf
C#C,0.967706,0.015083,0.010952,0.006259,1,0.254237,0.717706,qdf
CC1=CCCCC1,0.010648,0.967461,0.006276,0.015615,2,0.255569,0.717461,qdf
c1cC2C(=O)NC(=O)C2cc1,0.967261,0.017039,0.007186,0.008514,1,0.256267,0.717261,qdf
Cc1ccc2ccccc2c1,0.005931,0.015233,0.011828,0.967007,4,0.258358,0.717007,qdf
CCCC(C)(C)C,0.966732,0.005771,0.014828,0.012670,1,0.260044,0.716732,qdf
CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,0.015423,0.005779,0.012242,0.966557,4,0.260983,0.716557,qdf
CC=CC=O,0.011913,0.005793,0.015896,0.966398,4,0.261828,0.716398,qdf
Cc1cccnc1C,0.017805,0.966253,0.009500,0.006442,2,0.262040,0.716253,qdf
CCC(C)C(C)C,0.965792,0.018152,0.006238,0.009817,1,0.264662,0.715792,qdf
CCC(C)C(=O)OC2CC(C)C=C3C=CC(C)C(CCC1CC(O)CC(=O)O1)C23,0.965770,0.013608,0.005505,0.015117,1,0.265625,0.715770,qdf
CCCCCCCCO,0.008321,0.019071,0.006999,0.965609,4,0.265290,0.715609,qdf
CCCOC(=O)c1ccc(N)cc1,0.006940,0.964966,0.008267,0.019827,2,0.268754,0.714966,qdf
CCC=C,0.007769,0.019932,0.007337,0.964962,4,0.268711,0.714962,qdf
Oc1ccc(c(O)c1)c3oc2cc(O)cc(O)c2c(=O)c3O,0.019593,0.005998,0.009978,0.964431,4,0.272150,0.714431,qdf
CC(C)CC(C)(C)C,0.007636,0.007363,0.020680,0.964321,4,0.272138,0.714321,qdf
